Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Lenovo,Notebook,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,Nvidia Quadro 3000M,Windows 7,2.4kg,158135.04
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,0.69kg,16996.32
Dell,Gaming,14.63,Full HD 3840x2160,AMD Ryzen 7 3.02GHz,32GB,512GB SSD,Nvidia Quadro M520M,No OS,3.77kg,153666.05
Chuwi,Ultrabook,15.42,Full HD 1366x768,AMD Ryzen 5 4.22GHz,32GB,256GB SSD,Nvidia GeForce GTX 1050,macOS,1.59kg,79233.46
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows 10,3.78kg,127818.72
Xiaomi,Ultrabook,16.7,Full HD 1366x768,AMD Ryzen 7 2.65GHz,4GB,256GB SSD,Nvidia GeForce GT 940MX,macOS,1.36kg,43538.06
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,4GB,128GB SSD,Intel HD Graphics 615,Windows 10 S,1.252kg,52693.92
Acer,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,Linux,2.1kg,15877.44
Acer,Ultrabook,17.8,Full HD 2560x1440,Intel Core i7 2.13GHz,4GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 960,Windows 7,1.91kg,157848.64
Dell,Netbook,13.58,Full HD 2560x1440,Intel Core i3 4.38GHz,32GB,1TB SSD,AMD Radeon 520,Mac OS X,2.56kg,174837.7
Google,Notebook,14.41,Full HD 2880x1800,Intel Core i7 4.19GHz,8GB,256GB SSD,Intel HD Graphics 620 ,Windows 10 S,2.89kg,135723.37
Dell,Notebook,14,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,1.76kg,40226.4
Mediacom,2 in 1 Convertible,17.37,Full HD 3840x2160,Intel Core i5 3.03GHz,8GB,512GB SSD,Nvidia GeForce 960M,No OS,3.07kg,145272.78
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.59kg,71341.92
Mediacom,Notebook,14.5,Full HD 2880x1800,Intel Core i3 4.02GHz,4GB,512GB SSD + 1TB HDD,Intel HD Graphics 540,Windows 10,2.28kg,163808.78
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,1TB HDD,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.59kg,46833.6528
Toshiba,Ultrabook,13.15,Full HD 3840x2160,Intel Core i7 1.52GHz,32GB,512GB SSD + 1TB HDD,Nvidia Quadro 3000M,Chrome OS,2.36kg,36872.72
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.05kg,36496.8
Google,Workstation,17.75,Full HD 1920x1080,Intel Core i5 3.89GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX1080,Linux,1.4kg,60799.99
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.6kg,159786.72
HP,Ultrabook,13.75,Full HD 1366x768,AMD Ryzen 5 1.54GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon R5,Mac OS X,3.12kg,233670.98
HP,Netbook,12.5,1366x768,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.26kg,74005.92
Asus,Gaming,14.12,Full HD 2560x1440,AMD Ryzen 7 1.73GHz,32GB,512GB SSD + 1TB HDD,Nvidia GeForce GT 940MX,Chrome OS,0.91kg,240774.83
Microsoft,Gaming,14.77,Full HD 1920x1080,Intel Core i3 3.75GHz,8GB,512GB SSD + 1TB HDD,AMD R17M-M1-70,Chrome OS,3.71kg,120461.22
LG,2 in 1 Convertible,14.87,Full HD 2560x1440,Intel Core i7 2.92GHz,8GB,1TB HDD,Nvidia GeForce GTX 980M,Windows 7,1.37kg,183887.14
Lenovo,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.1kg,28771.2
Acer,Netbook,16.18,Full HD 1920x1080,AMD Ryzen 5 1.52GHz,4GB,1TB SSD,Nvidia GeForce 920MX,Linux,1.54kg,129594.61
Lenovo,Ultrabook,14.31,Full HD 1920x1080,AMD Ryzen 5 2.78GHz,16GB,512GB SSD,Intel HD Graphics 510,macOS,1.47kg,215659
Google,Notebook,11.96,Full HD 3840x2160,Intel Core i7 4.1GHz,8GB,1TB SSD,AMD R4 Graphics,Linux,2.45kg,226043
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,Nvidia Quadro M1000M,Windows 7,2.0kg,101178.72
Toshiba,Netbook,16.12,Full HD 3840x2160,AMD Ryzen 5 2.4GHz,4GB,1TB SSD,Nvidia Quadro M1000M,Linux,2.22kg,148597.73
HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.26kg,71128.8
Dell,Workstation,12.55,Full HD 1920x1080,AMD Ryzen 5 2.23GHz,8GB,1TB SSD,AMD FirePro W4190M ,Windows 10 S,1.3kg,27349.05
Google,Ultrabook,12.52,Full HD 3840x2160,Intel Core i7 3.41GHz,16GB,1TB HDD,Intel HD Graphics 505,Windows 10,2.25kg,242077.99
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M420,Windows 10,2.18kg,32921.712
Razer,Ultrabook,17.68,Full HD 3840x2160,Intel Core i5 2.84GHz,32GB,1TB HDD,AMD Radeon R7 M440,Windows 7,2.86kg,170109.05
Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.42kg,133679.52
Lenovo,Notebook,15.6,1366x768,Intel Celeron Quad Core N3710 1.6GHz,8GB,1TB HDD,Intel HD Graphics 405,No OS,2.2kg,17529.12
Dell,Ultrabook,16.48,Full HD 2560x1440,AMD Ryzen 5 2.79GHz,32GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1080,Linux,3.79kg,240583.86
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.3kg,55091.52
Google,2 in 1 Convertible,12.89,Full HD 1920x1080,Intel Core i7 2.88GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon RX 540,Linux,3.78kg,202825.79
LG,Ultrabook,14.43,Full HD 2560x1440,AMD Ryzen 7 2.53GHz,16GB,1TB HDD,Nvidia GeForce GTX 1060,Chrome OS,3.76kg,88803.53
HP,Ultrabook,17.47,Full HD 3840x2160,AMD Ryzen 5 2.7GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 960<U+039C>,macOS,1.95kg,129192.9
Google,Notebook,17.08,Full HD 2560x1440,Intel Core i3 4.09GHz,4GB,1TB HDD,Intel HD Graphics 505,macOS,1.15kg,61196.1
MSI,Ultrabook,17.18,Full HD 1366x768,AMD Ryzen 5 3.41GHz,16GB,512GB SSD + 1TB HDD,Nvidia Quadro M520M,Windows 10,1.0kg,167888.48
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,AMD Radeon R5 M420,Windows 10,2.18kg,39373.92
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.25kg,117162.72
Google,Workstation,13.21,Full HD 1366x768,Intel Core i3 3.27GHz,32GB,256GB SSD,AMD Radeon Pro 555,Chrome OS,1.13kg,166296
HP,Netbook,12.5,Full HD 1920x1080,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Intel HD Graphics 515,Windows 10,0.97kg,101658.24
Samsung,Netbook,13.39,Full HD 3840x2160,AMD Ryzen 5 2.17GHz,16GB,512GB SSD,Intel Iris Pro Graphics,Windows 7,3.55kg,92822.11
Google,Gaming,15.62,Full HD 1920x1080,Intel Core i5 2.74GHz,4GB,256GB SSD,Nvidia GeForce GTX1060,macOS,1.62kg,106794.87
Samsung,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,0.81kg,87858.72
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.84kg,101232
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.23kg,36816.48
Microsoft,Netbook,17.02,Full HD 1920x1080,AMD Ryzen 5 3.32GHz,8GB,512GB SSD,Nvidia GeForce MX130,Chrome OS,2.44kg,131182.82
LG,Netbook,14.22,Full HD 1920x1080,AMD Ryzen 7 4.28GHz,16GB,512GB SSD + 1TB HDD,Intel HD Graphics 615,Chrome OS,2.52kg,57928.97
Razer,Notebook,14.62,Full HD 1366x768,Intel Core i7 1.77GHz,16GB,256GB SSD,AMD Radeon R4,Mac OS X,3.0kg,218313.68
Mediacom,Ultrabook,12.35,Full HD 2880x1800,Intel Core i5 4.33GHz,32GB,256GB SSD,Intel HD Graphics 5300,Mac OS X,3.73kg,180112.83
Huawei,Ultrabook,16.54,Full HD 3840x2160,Intel Core i5 3.38GHz,32GB,1TB SSD,Nvidia GeForce GTX 950M,Chrome OS,3.08kg,192236.46
Xiaomi,Notebook,15.12,Full HD 2560x1440,Intel Core i7 4.05GHz,4GB,512GB SSD,AMD R17M-M1-70,Android,3.18kg,140289.81
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,1.7kg,78534.72
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg,63776.16
Toshiba,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.2kg,64628.64
HP,2 in 1 Convertible,14.22,Full HD 2880x1800,Intel Core i5 2.07GHz,16GB,256GB SSD,AMD Radeon R3,Windows 10 S,3.61kg,230058.85
Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,133146.72
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.55kg,35111.52
Microsoft,2 in 1 Convertible,17.51,Full HD 1920x1080,Intel Core i7 3.82GHz,4GB,512GB SSD,Nvidia GeForce GTX 980M,Mac OS X,2.61kg,81752.53
Lenovo,Gaming,11.76,Full HD 1920x1080,Intel Core i5 2.21GHz,8GB,1TB SSD,AMD Radeon R4,Android,1.19kg,236915.72
Toshiba,Workstation,15.06,Full HD 3840x2160,AMD Ryzen 7 1.81GHz,8GB,512GB SSD,Nvidia GeForce GTX 1050,No OS,1.26kg,210485.4
Razer,Notebook,16.69,Full HD 1920x1080,AMD Ryzen 7 3.37GHz,16GB,1TB SSD,Nvidia Quadro M2200,Chrome OS,2.79kg,223435.22
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.85kg,22105.872
Fujitsu,Netbook,15.62,Full HD 3840x2160,Intel Core i3 3.69GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon R2,No OS,0.94kg,170117.82
Toshiba,Gaming,13.43,Full HD 2560x1440,Intel Core i7 1.78GHz,4GB,512GB SSD,AMD Radeon 520,Linux,2.08kg,130144.85
MSI,Gaming,16.07,Full HD 2880x1800,Intel Core i5 3.28GHz,32GB,1TB SSD,Nvidia GeForce GTX 1050 Ti,No OS,1.06kg,83136.25
Microsoft,Gaming,17.31,Full HD 1920x1080,Intel Core i5 2.46GHz,32GB,512GB SSD + 1TB HDD,Intel Iris Graphics 550,No OS,1.65kg,99137.68
Mediacom,Workstation,13.02,Full HD 2560x1440,AMD Ryzen 5 1.74GHz,32GB,1TB SSD,AMD Radeon Pro 555,Windows 10 S,1.48kg,101488.77
Dell,Gaming,11.47,Full HD 3840x2160,Intel Core i3 4.48GHz,16GB,512GB SSD,Nvidia GeForce 940M,Mac OS X,3.65kg,189488.27
Fujitsu,Notebook,15.18,Full HD 3840x2160,AMD Ryzen 5 2.31GHz,16GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.99kg,35855.69
Mediacom,Notebook,12.41,Full HD 1366x768,AMD Ryzen 7 3.02GHz,8GB,1TB SSD,AMD Radeon R5 M430,Mac OS X,3.18kg,106753.85
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 920MX,Windows 10,1.87kg,45664.6896
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon R5,Windows 10,1.91kg,26053.3872
MSI,Workstation,15.95,Full HD 1366x768,Intel Core i5 4.06GHz,4GB,256GB SSD,AMD Radeon R5 520,Android,3.26kg,198131.79
Mediacom,Workstation,15.08,Full HD 2560x1440,AMD Ryzen 7 2.34GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1070M,Windows 10,1.15kg,107938.68
LG,Ultrabook,13.54,Full HD 2880x1800,Intel Core i3 1.51GHz,8GB,512GB SSD + 1TB HDD,Nvidia Quadro M520M,Linux,1.23kg,239229.6
Huawei,Ultrabook,13,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.05kg,79866.72
Samsung,Workstation,13.15,Full HD 1920x1080,Intel Core i7 2.56GHz,16GB,512GB SSD,Nvidia GeForce 960M,Mac OS X,2.61kg,181616.36
HP,2 in 1 Convertible,13.44,Full HD 3840x2160,AMD Ryzen 5 4.26GHz,4GB,1TB HDD,AMD Radeon R5 M420,macOS,1.52kg,166029.65
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.99kg,92121.12
Huawei,Netbook,14.81,Full HD 1366x768,Intel Core i3 3.7GHz,8GB,1TB HDD,AMD Radeon R5 M315,macOS,3.71kg,60426.27
Huawei,2 in 1 Convertible,11.85,Full HD 3840x2160,Intel Core i5 1.76GHz,4GB,1TB HDD,Nvidia GeForce GT 940MX,No OS,2.12kg,172365.85
Asus,Workstation,13.42,Full HD 2880x1800,Intel Core i7 3.72GHz,8GB,1TB HDD,Intel HD Graphics 505,Mac OS X,3.05kg,152557.01
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.1kg,14652
Vero,Workstation,12.44,Full HD 2560x1440,Intel Core i5 2.34GHz,16GB,512GB SSD,Intel HD Graphics 500,Android,2.36kg,39560.12
Mediacom,Netbook,14.51,Full HD 2880x1800,Intel Core i5 1.81GHz,4GB,256GB SSD,AMD FirePro W5130M,Linux,3.1kg,78611.94
HP,Notebook,14,1366x768,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.31kg,59886.72
Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.9kg,26533.44
Vero,Notebook,16.48,Full HD 1920x1080,AMD Ryzen 5 3.16GHz,4GB,512GB SSD,Intel HD Graphics 510,No OS,2.2kg,28519.93
Chuwi,Netbook,11.91,Full HD 2560x1440,Intel Core i3 2.32GHz,4GB,512GB SSD + 1TB HDD,Nvidia Quadro M1000M,Linux,3.52kg,48870.94
Apple,Workstation,14.92,Full HD 1366x768,Intel Core i3 4.32GHz,32GB,256GB SSD,AMD Radeon R7 M360,Linux,3.16kg,180295.8
Fujitsu,Workstation,15.22,Full HD 3840x2160,AMD Ryzen 5 2.56GHz,32GB,256GB SSD,AMD Radeon R5,Chrome OS,3.49kg,94872.33
HP,2 in 1 Convertible,15.12,Full HD 1366x768,Intel Core i7 2.77GHz,8GB,512GB SSD + 1TB HDD,AMD FirePro W6150M,Windows 10 S,2.91kg,242098.49
Toshiba,Notebook,15.02,Full HD 1920x1080,Intel Core i3 4.31GHz,8GB,1TB SSD,AMD Radeon R7 M360,Android,1.09kg,121369.02
Vero,Workstation,15.89,Full HD 2560x1440,AMD Ryzen 7 3.1GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon 520,Windows 10,1.81kg,62453.35
Dell,Gaming,17.94,Full HD 2560x1440,AMD Ryzen 5 3.95GHz,8GB,512GB SSD,Nvidia GeForce GTX 1070,macOS,3.71kg,118463.54
Acer,Ultrabook,11.64,Full HD 1920x1080,Intel Core i7 4.11GHz,8GB,512GB SSD,Nvidia GeForce GTX 940MX,No OS,3.03kg,170257.7
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,Windows 10,2.6kg,92615.0256
Xiaomi,2 in 1 Convertible,17.06,Full HD 2560x1440,Intel Core i5 2.11GHz,8GB,512GB SSD,Nvidia Quadro M2200M,Chrome OS,2.02kg,140473.98
Microsoft,2 in 1 Convertible,14.73,Full HD 2880x1800,Intel Core i5 3.37GHz,16GB,256GB SSD,Nvidia Quadro M500M,Windows 10 S,3.31kg,225133.48
Lenovo,Gaming,14.86,Full HD 1920x1080,AMD Ryzen 7 2.61GHz,4GB,256GB SSD,Intel HD Graphics 530,Windows 10,2.25kg,219419.94
MSI,Netbook,17.12,Full HD 1366x768,Intel Core i3 2.99GHz,8GB,512GB SSD + 1TB HDD,Intel UHD Graphics 620,No OS,0.95kg,201642.7
Dell,2 in 1 Convertible,14.48,Full HD 1366x768,Intel Core i7 1.98GHz,16GB,1TB SSD,ARM Mali T860 MP4,macOS,2.15kg,58427.14
Apple,Netbook,12.45,Full HD 1920x1080,AMD Ryzen 5 2.29GHz,4GB,256GB SSD,Nvidia GeForce 920MX ,Linux,2.16kg,175541.71
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.23kg,32980.32
Huawei,Ultrabook,16.22,Full HD 2560x1440,Intel Core i5 1.6GHz,8GB,512GB SSD + 1TB HDD,Nvidia Quadro M620,macOS,2.71kg,164810.4
HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.63kg,57755.52
LG,Workstation,11.31,Full HD 3840x2160,AMD Ryzen 7 4.19GHz,16GB,512GB SSD,Intel HD Graphics 510,No OS,2.71kg,119790.68
Google,Gaming,12.28,Full HD 3840x2160,Intel Core i5 3.78GHz,4GB,256GB SSD,AMD Radeon 530,No OS,2.04kg,195382.25
Vero,2 in 1 Convertible,15.68,Full HD 1366x768,Intel Core i7 3.4GHz,8GB,1TB SSD,Nvidia GeForce 960M,Windows 7,3.11kg,27724.67
Xiaomi,Notebook,14.86,Full HD 2560x1440,Intel Core i5 2.76GHz,32GB,512GB SSD,AMD Radeon R7,Windows 10 S,3.59kg,61208.28
Mediacom,2 in 1 Convertible,11,Full HD 2560x1440,Intel Core i7 4.37GHz,4GB,1TB HDD,AMD Radeon R2 Graphics,Windows 10 S,1.94kg,28513.14
LG,Netbook,11.57,Full HD 2880x1800,Intel Core i5 3.32GHz,32GB,512GB SSD + 1TB HDD,Nvidia Quadro M620,Linux,1.41kg,214457.45
HP,Workstation,16.86,Full HD 1366x768,Intel Core i5 2.09GHz,16GB,256GB SSD,Nvidia GeForce 930M,No OS,1.45kg,192972.62
Vero,Netbook,11.51,Full HD 1366x768,AMD Ryzen 7 3.67GHz,4GB,256GB SSD,Nvidia Quadro M1000M,Windows 10 S,1.37kg,102831.21
Google,Workstation,15.82,Full HD 2880x1800,Intel Core i7 3.13GHz,4GB,1TB HDD,AMD R4 Graphics,Mac OS X,1.55kg,127532.26
Huawei,Gaming,17.1,Full HD 2560x1440,Intel Core i7 3.38GHz,16GB,256GB SSD,AMD Radeon Pro 560,Android,2.19kg,229256.28
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.64kg,53839.9728
LG,Notebook,12.2,Full HD 2880x1800,AMD Ryzen 7 4.37GHz,16GB,1TB SSD,AMD Radeon R7 M365X,Linux,3.01kg,106237.03
Acer,Notebook,11.32,Full HD 2880x1800,Intel Core i7 3.54GHz,32GB,256GB SSD,Nvidia GeForce GTX1080,Windows 7,2.54kg,133131.49
Acer,Netbook,17.19,Full HD 1366x768,Intel Core i7 3.45GHz,8GB,1TB HDD,Nvidia GeForce GTX 1080,macOS,3.21kg,101662.49
Microsoft,Workstation,17.06,Full HD 2560x1440,Intel Core i7 2.33GHz,4GB,512GB SSD,AMD Radeon Pro 560,macOS,3.19kg,174632.93
HP,Netbook,15.37,Full HD 2560x1440,AMD Ryzen 5 3.39GHz,4GB,512GB SSD,Nvidia GeForce GTX 980 ,macOS,1.82kg,211221.78
Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,No OS,2.8kg,28717.92
Samsung,Workstation,13.99,Full HD 1366x768,AMD Ryzen 7 1.94GHz,32GB,256GB SSD,AMD Radeon Pro 455,Linux,3.08kg,80789.73
Apple,Netbook,16.6,Full HD 1366x768,AMD Ryzen 5 3.0GHz,32GB,256GB SSD,Intel HD Graphics 400,macOS,2.45kg,171282.03
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M2200,Windows 10,3.14kg,110017.872
Chuwi,Notebook,11.8,Full HD 1920x1080,Intel Core i7 3.1GHz,32GB,1TB SSD,Nvidia GeForce GTX 1050M,Windows 10 S,3.16kg,221815.59
Google,Notebook,15.78,Full HD 1920x1080,Intel Core i5 3.1GHz,4GB,256GB SSD,Intel Iris Graphics 550,Windows 10 S,2.03kg,232539.45
Fujitsu,2 in 1 Convertible,14.01,Full HD 2880x1800,Intel Core i7 3.25GHz,16GB,1TB HDD,Nvidia GeForce MX130,No OS,2.92kg,248675.23
Apple,Notebook,12.55,Full HD 1366x768,Intel Core i3 1.67GHz,4GB,256GB SSD,Intel HD Graphics,Android,1.04kg,65410.38
Acer,Notebook,16.01,Full HD 2880x1800,Intel Core i3 2.21GHz,32GB,1TB HDD,Nvidia GeForce GTX 1060,Linux,1.6kg,153277.09
HP,Netbook,15.23,Full HD 1920x1080,Intel Core i7 3.36GHz,4GB,512GB SSD,Nvidia GeForce GT 940MX,Windows 7,3.29kg,239226.12
Microsoft,2 in 1 Convertible,15.14,Full HD 2560x1440,AMD Ryzen 5 3.17GHz,4GB,1TB SSD,Nvidia GeForce 920,Linux,3.21kg,96019.78
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg,49816.8
HP,Gaming,17.21,Full HD 1366x768,Intel Core i5 1.67GHz,32GB,256GB SSD,Nvidia Quadro M520M,Android,3.11kg,197401.88
MSI,Workstation,12.04,Full HD 3840x2160,Intel Core i3 1.6GHz,32GB,512GB SSD + 1TB HDD,Nvidia Quadro M620,No OS,2.8kg,28849.47
Samsung,Ultrabook,16.77,Full HD 2880x1800,Intel Core i3 2.91GHz,32GB,1TB HDD,Nvidia GeForce 920,No OS,1.17kg,91037.73
Microsoft,Notebook,15.11,Full HD 1366x768,Intel Core i5 1.91GHz,8GB,1TB HDD,Intel HD Graphics 505,Windows 10,3.74kg,137248.11
Google,Netbook,12.74,Full HD 2560x1440,AMD Ryzen 7 2.6GHz,32GB,512GB SSD + 1TB HDD,Nvidia Quadro M500M,Windows 10 S,1.83kg,115047.73
Acer,2 in 1 Convertible,12.75,Full HD 1366x768,Intel Core i7 2.26GHz,4GB,512GB SSD,AMD Radeon R5 M330,Windows 7,1.32kg,169689.78
Vero,2 in 1 Convertible,15.88,Full HD 2560x1440,Intel Core i7 1.69GHz,16GB,256GB SSD,AMD Radeon R5,Android,1.69kg,24980.97
LG,Netbook,17.02,Full HD 3840x2160,Intel Core i7 3.05GHz,16GB,512GB SSD,Intel Graphics 620,No OS,2.57kg,159408.3
Microsoft,2 in 1 Convertible,13.3,Full HD 2880x1800,Intel Core i7 1.66GHz,4GB,1TB HDD,AMD Radeon R4 Graphics,Mac OS X,3.77kg,117440.03
Dell,Netbook,13.42,Full HD 2880x1800,AMD Ryzen 7 3.32GHz,8GB,1TB HDD,Nvidia Quadro 3000M,Windows 10,3.8kg,220819.89
Asus,2 in 1 Convertible,16.72,Full HD 2880x1800,AMD Ryzen 7 2.25GHz,8GB,512GB SSD,AMD FirePro W4190M,Windows 7,2.68kg,159078.37
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,31914.72
Samsung,Gaming,11.75,Full HD 1920x1080,Intel Core i7 3.12GHz,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows 10 S,1.64kg,78254.37
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,Windows 10,3.31kg,63722.88
LG,2 in 1 Convertible,13.56,Full HD 2880x1800,AMD Ryzen 7 1.8GHz,4GB,512GB SSD,Nvidia GeForce 920MX ,Chrome OS,1.49kg,136395.82
Dell,Workstation,17.37,Full HD 2560x1440,Intel Core i3 1.72GHz,8GB,256GB SSD,Intel HD Graphics,Android,2.09kg,164238.82
Acer,Netbook,16.85,Full HD 1920x1080,Intel Core i3 4.46GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Android,1.88kg,31880.36
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg,51095.52
Google,Ultrabook,14.61,Full HD 3840x2160,Intel Core i7 3.2GHz,4GB,256GB SSD,AMD Radeon R5 M420,No OS,2.22kg,38140.45
MSI,Notebook,16.85,Full HD 2560x1440,Intel Core i5 3.29GHz,32GB,1TB SSD,AMD Radeon 530,Mac OS X,2.75kg,180121.65
Fujitsu,Gaming,13.25,Full HD 1920x1080,Intel Core i5 2.34GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce 960M,Chrome OS,2.92kg,22316.32
